RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178439,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.17836,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0371457,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178214,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0557185,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178389,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178313,-0.178415,0,0,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178236,-0.178437,0,0,0,-0.0557185,0,-0.0557185,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178313,-0.178415,0,0,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178314,-0.178415,0,0,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178315,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178292,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178366,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178389,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178313,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178314,-0.178437,0,0,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178292,-0.178366,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.17836,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178366,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178339,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178313,-0.178437,0,0,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178339,-0.178389,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178462,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178461,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178366,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178214,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0557185,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178292,-0.178338,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0742913,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178437,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178316,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178291,-0.178361,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178389,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178338,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0742913,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178414,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0371457
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0371457
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178415,0,-0.0185728,0,-0.0742913,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178292,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0185728,0,-0.0185728
-0.178291,-0.178437,0,-0.0185728,0,-0.0557185,0,-0.0742913,0,-0.0928641,0,-0.0371457,0,-0.0185728
